,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
406,CHEMBL599849,NC1(C(=O)NCc2ccc(Cl)cc2Cl)CCN(c2ncnc3[nH]ccc23)CC1,4.9,active,402.8610000000001,2.3645000000000005,3.0,5.0,4.9,8.309803919971486
407,CHEMBL598842,NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]c(=O)[nH]c23)CC1,5.0,active,376.2910000000001,3.805100000000002,2.0,4.0,5.0,8.301029995663981
408,CHEMBL596991,NC1(Cc2ccc(Cl)cc2)CCN(c2ccnc3[nH]ccc23)CC1,5.5,active,418.4230000000002,2.5908000000000007,3.0,5.0,5.5,8.259637310505756
409,CHEMBL598206,NC1(C(=O)NCc2ccc(Cl)c(Cl)c2)CCN(c2ncnc3[nH]ccc23)CC1,5.7,active,386.40600000000006,1.8501999999999994,3.0,5.0,5.7,8.244125144327509
410,CHEMBL263664,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,6.0,active,383.8830000000001,2.830400000000001,3.0,4.0,6.0,8.221848749616356
411,CHEMBL603882,NC1(Cc2ccc3ccccc3c2)CCN(c2ncnc3[nH]ccc23)CC1,7.0,active,341.8460000000001,3.1517000000000017,2.0,4.0,7.0,8.154901959985743
412,CHEMBL604910,NC1(C(=O)NCc2cccc(Cl)c2)CCN(c2ncnc3[nH]ccc23)CC1,7.0,active,368.4160000000001,1.711099999999999,3.0,5.0,7.0,8.154901959985743
413,CHEMBL597793,NC1(COCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,8.0,active,337.4270000000001,2.506900000000001,2.0,5.0,8.0,8.096910013008056
414,CHEMBL604507,NC1(C(=O)NCc2ccc(F)cc2Cl)CCN(c2ncnc3[nH]ccc23)CC1,8.0,active,376.2910000000001,3.805100000000002,2.0,4.0,8.0,8.096910013008056
415,CHEMBL597414,NC1(Cc2ccc(Cl)cc2Cl)CCN(c2ncnc3[nH]ccc23)CC1,8.5,active,376.2910000000001,3.805100000000002,2.0,4.0,8.5,8.070581074285707
416,CHEMBL599847,NC1(C(=O)NCc2ccc(C(F)(F)F)cc2)CCN(c2ncnc3[nH]ccc23)CC1,11.0,active,391.3970000000001,3.3969000000000014,2.0,5.0,11.0,7.958607314841775
417,CHEMBL598207,NC1(C(=O)NCc2ccc(F)cc2F)CCN(c2ncnc3[nH]ccc23)CC1,11.0,active,376.2910000000001,3.805100000000002,2.0,4.0,11.0,7.958607314841775
418,CHEMBL599448,NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ccnc3[nH]ccc23)CC1,12.0,active,357.46100000000007,3.651500000000002,2.0,4.0,12.0,7.920818753952375
419,CHEMBL598013,NC1(Cc2ccc(Cl)cc2)CCN(c2ccnc3[nH]ncc23)CC1,12.0,active,398.89800000000014,2.5676000000000005,2.0,5.0,12.0,7.920818753952375
420,CHEMBL597183,NC1(C(=O)NCc2ccc(F)cc2)CCN(c2ncnc3[nH]ccc23)CC1,14.0,active,363.50900000000007,3.7958000000000025,2.0,4.0,14.0,7.853871964321762
421,CHEMBL597819,COc1cccc(CC2(N)CCN(c3ncnc4[nH]ccc34)CC2)c1,15.0,active,434.4220000000002,2.4706,3.0,6.0,15.0,7.823908740944319
422,CHEMBL604917,NC1(Cc2cc(Cl)ccc2Cl)CCN(c2ncnc3[nH]ccc23)CC1,16.0,active,362.5210000000001,4.400800000000003,2.0,3.0,16.0,7.795880017344075
423,CHEMBL603680,NC1(Cc2ccc(Cl)c(Cl)c2)CCN(c2ncnc3[nH]ccc23)CC1,18.0,active,391.3970000000001,3.3969000000000023,2.0,5.0,18.0,7.7447274948966935
424,CHEMBL597818,NC1(Cc2cccc(OC(F)(F)F)c2)CCN(c2ncnc3[nH]ccc23)CC1,19.0,active,376.29100000000005,3.805100000000002,2.0,4.0,19.0,7.721246399047171
425,CHEMBL597415,NC1(Cc2c(Cl)cccc2Cl)CCN(c2ncnc3[nH]ccc23)CC1,20.0,active,384.8710000000001,2.2253999999999996,3.0,5.0,20.0,7.698970004336019
426,CHEMBL598448,NC1(Cc2cccc3ccccc23)CCN(c2ncnc3[nH]ccc23)CC1,25.0,active,341.84600000000006,3.1517000000000017,2.0,4.0,25.0,7.6020599913279625
